笔画,吉凶,女命,最吉,卦,天九,义象,基业,家庭,健康,含义
61,吉,,,震震,牡丹芙蓉,牡丹芙蓉，花开富贵，名利双收，定享天赋,将星、文昌、福星、技艺、财库、财帛、破厄。,自立成家，衣食丰盈。,“三才”良者可望安康长寿，否则不遇。,独之自营的野心旺盛，赋有繁荣富贵的吉兆，可获得名利双收。无奈傲慢不逊，致酿成内外不和，家庭反目，兄弟隔于墙，行事恐难如愿。表面装饰堂皇，里面空虚。如果能修德慎行，且守和顺，自可防患于未然。享天赋的幸福，一生受尽祯祥。
62,凶,,,乾震,衰败,衰败之象，内外不和，志望难达，灾祸频来,国印、文昌、虚度、将星、技艺、灾厄。,亲情疏淡，骨肉分离。,伤残、外伤、刑罚、短命、灾厄，“三才”善良者可安全。,持宝腐损，虽有祖先遗产，难免破败。内外不和，缺乏信用，志望难达，渐入衰败之境。意外灾害频来，属身弱家废，步步凶惨之数。
63,吉,,,坤震,舟归平海,富贵荣华，身心安泰，雨露惠泽，万事亨通,官禄、将星、文昌、艺能、财库、田宅、工商。,子女多孝，顺从敬爱，圆满之象。,身心健康，可望长寿。,万物承惠雨露而发育壮大之状。事事随心所欲，逢凶化吉，得天赐之福。属不费心神，万事如意，荣显可传子孙的最吉数。
64,凶,,,艮乾,非命,骨肉分离，孤独悲愁，难得心安，做事不成,将星、学士、技艺、灾厄、破财、劫煞。,六亲多忧，妻子见破。,水厄、刑罚、病患、外伤，“三才”善良者可望平安。,此数为破坏、灭亡、离散、沉滞的凶兆。东奔西忙，终身劳禄，无所成就。意外灾害重重，或骨肉离散，或病患非命临身，人生难得安宁。
65,吉,,,离乾,巨流归海,天长地久，家运隆昌，福寿绵长，事事成就,臣君、将星、官禄、文昌、技艺、财库、田宅、时禄。,祖业有根基，子孙昌盛，“三才”不善者不遇。,安康自在，多施恩德则能延年益寿。,为凡事无不成功之数，富贵长寿之贵运。天长地久，事事成就，家运隆昌。福寿绵长，一生平安。
66,凶,,,巽乾,岩头步马,进退维谷，艰难不堪，等待时机，一跃而起,将星、豪杰、灾厄、崩山、破财、破败。,六亲冷淡不相投，兄弟疏远。,刑罚、外伤、亡身、伤残、短命。,进退失自由，内外不和，艰难不堪，祸害灾厄交至，大有身家破灭的凶相。
67,吉,,,坎乾,顺风通达,天赋幸运，四通八达，家道繁昌，富贵东来,君臣、将星、文昌、学士、刚性、艺能、财库、进田。,父母多荫，子女多孝，圆满幸福。“三才”不善者时有争执，宜守平和。,安康，可望长寿。先天五行为火且“三才”不善者有肺病或呼吸器官疾病。,草木逢春成育发达之意。受长辈上级的援助，万事无障碍而达目的。乘天助的幸运，实现志望，家道繁昌，是富贵东来的好运数。
68,吉,,,兑乾,顺风吹帆,智虑周密，集众信达，发明能智，拓展昂进,将相、学士、文昌、财帛、荣誉、暗禄、进田、节度。,幸福，“三才”不善者不遇。,良好，“三才”不善者有肺病或心脏病。,智虑周密，志向坚定，独立经营，勤勉力行，发展奋进之象。有发明的才能，克集众信，有回天之力。愿望达成，名利双收。
69,凶,,,中乾,非业,非业非力，精神迫滞，灾害交至，遍偿痛苦,将星、财帛、学士、文昌、技能、艺术、破厄、劫财。,六亲不相投，兄弟难相处，不宜心直口快。,刑罚、外伤、病灾、伤残，天生五行为金木者可望平安。,穷迫、滞塞、逆境之数。缺乏坚定信念，进退维艰，倾家荡产。灾祸迭至，摇动不安，甚至陷于疾病、短命、伤残，或尝尽痛苦而死。
70,凶,,,震乾,残菊逢霜,残菊逢霜，寂寞无碍，惨澹忧愁，晚景凄凉,官星、学士、文库、巧艺、财库、破厄、劫禄。,父母难当，兄弟无助，妻、子宜迟。,病患、废疾、外伤、刑罚。先天五行为金木者可望平安。,险恶灭亡之象。命运多劫，一生惨澹，忧愁不绝，空虚寂寞。难免有杀伤、废疾、刑罚、短命、离散等灾厄，不然便是世上无用之人。
71,半吉,,,乾乾,石上金花,石上金花，内心劳苦，贯彻始终，定可昌隆,技艺、文昌、学士、破厄、劫禄。,时遇争执，宜守平和。,外伤、些少疾病，“三才”善者可安康。,本有生成的吉兆，自应享受富贵幸福。无奈内心劳苦甚多，缺乏实行贯彻的精神，进取的勇气不足，遂致失败。
72,凶,,,坤乾,劳苦,荣苦相伴，阴云覆月，外表吉祥，内实凶祸,技能、官禄、出乡、工商、学基、财帛、田宅、破厄。,亲眷疏淡，妻、子宜迟。,“三才”善良者可望健康，否则不遇。,阴云蔽月之象，快乐贫穷兼有之数。思想不遂，烦闷苦恼。一时幸遇发达，但荣华不久。其前半生幸福，后半生悲惨。外观虽吉，内里生凶，甚有晚年家破人亡者。平素戒贪心，可免陷困苦。
73,半吉,,,艮坤,无勇,盛衰交加，徒有高志，天王福祉，终世平安,技艺、文昌、艺术、时禄、厄星、红艳。,六亲无缘，夫妻旗鼓相当，难为儿女。,良好，须防肝病和眼疾。,盛衰交加之象。无实行贯彻之勇，徒有高志而无成事之能，常有成事不足败事有馀之憾。然而做事小心，努力奋斗，可步步踏上光明。积少成多，晚年必丰，子孙可享馀庆。加之天生福气，大都终世平安。
74,凶,,,离坤,残菊经霜,残菊经霜，秋叶寂寞，无能无智，辛苦繁多,技艺、文昌、时禄、破厄、红艳、劫禄。,妻子不知心，亲情无助，宜心胸开朗。,时遇伤残、病患、刑罚、短命，先天五行为土者安康自在。,无智无能，仅取得衣食，且徒食山崩，真是世上无用之辈。易生意外灾厄，辛苦繁忙，妻离子散，沉沦逆境，寂寞孤苦。晚年不幸，衰叹命运。
75,凶,,,巽坤,退守,退守保吉，发迹甚迟，虽有吉象，无谋难成,将星、学士、时禄、破厄、灾动、文昌。,可望圆满。,安康，“三才”不善者有病患。,生来虽是有德，无凶之吉相，奈因做事情怠，缺乏勇气，策划无术，纵自幸遇，发展有限，享福不久。若要成大事，便招致失败，进取必陷于失意灾厄，退守可保吉祥。
76,凶,,,坎坤,离散,倾复离散，骨肉分离，内外不和，虽劳无功,豪杰、文昌、将星、劫禄、破财。,六亲无缘，夫妇分离，乏子息。,病弱、短命、亡身。,外观幸遇，内里不然。内外不和，骨肉分离。逆境凶煞无限，倾家荡产亡身悲运数。且多病弱，困苦不安，为短命离愁之凶数。
77,半吉,,,兑坤,半吉,家庭有悦，半吉半凶，能获援护，陷落不幸,将星、财帛、劫禄、破厄。,六亲不得力，子息宜迟。,须防肺病，先天五行为土者平安。,多获上级援护，宜与众人相亲，协力合作事业可得成功，幸福享至中年。但因人多事难，未免被小人作弄，终究失败，陷入苦境，悲叹命运。如果有悲运于前半生者，后半生却反得吉祥。
78,凶,,,中坤,晚苦,祸福参半，先天智能，中年发达，晚景困苦,将星、学士、技艺、破厄、劫财、突破。,亲缘少、兄弟疏，宜多联络。,呼吸病、负伤、遭难。先天五行为水土者，可望健康。,祸福虽是参半，凶相较多一些。天生智慧型齐备，中年以前成功发达。及至中年后，渐自衰退，陷于困苦，为大悲惨的暗示。
79,凶,,,震坤,云头望月,云头望月，身疲力尽，穷迫不伸，精神不定,将星、学士、技艺、时禄、灾厄、破厄、文昌、破财。,亲眷蔬，兄弟不和，凡事谨慎则宁安。,外伤、病患，先天五行为金木者可望平安。,穷迫不解的逆境。自尊心强，精神不安，缺乏计谋实行的能力。乏气节失信用，受攻击遭非难，为世人所弃，成个废人，终身困苦。
80,凶,,,乾坤,遁吉,辛苦不绝，早入隐遁，安心立命，化凶转吉,将星、技艺、学者、时禄、破财、灾厄。,家中口舌多，不可多言。,病患多、刑伤、夭折，“三才”善良者可望平安。,一生困难辛苦不绝。病患、刑伤、夭折者多。但早入度隐遁的生活者，可以安心立命，化凶转吉。
81,吉,,,坤坤,万物回春,最吉之数，还本归元，吉祥重叠，富贵尊荣,天福、天官、赐禄、财库、将星、技艺、文昌。,子女俱佳，兄弟圆满，家庭和睦。,身心健康，可望长寿。“三才”不善者可能病患。,为最极之数，还本归元，其数理与基数1相同。万宝朝宗，吉祥重叠。体力旺盛，庆幸万多，富贵名誉，繁荣长寿，实属富贵尊荣的大诱导数。
