卦序,索引,上卦,上数,下卦,下数,吉凶,卦象,卦名,卦意（邵雍）,符号,初爻（邵雍）,初爻吉凶,初女命,二爻（邵雍）,二爻吉凶,二女命,三爻（邵雍）,三爻吉凶,三女命,四爻（邵雍）,四爻吉凶,四女命,五爻（邵雍）,五爻吉凶,五女命,上爻（邵雍）,上爻吉凶,六女命,用九、六（解说）,用吉凶
44,乾巽,乾为天,0,巽为风,4,,姤,天风姤,阴长阳衰，诸事不顺，宜谨慎行事，更应注意桃色纠纷。,䷫,或遇贵人好友提携而发财，女人有生育之喜。不良者，须防疾诉忧患，或女人有不贞之事。做官的有被贬职之忧。,平,,有财运，妇人则有怀孕之喜。做官的晋升有望。,平,,多灾难。做官的会退步，或者被贬。,凶,,多是非之扰，年老者不利于寿。做官的有损，多难。,凶,,会遇到贵人提携，有意外之喜，妇人有怀孕之喜。做官的会为栋梁之才。,平,,营谋艰辛，孤立无助。做官的功名大显，但好运将尽。读书人努力进取者能取得佳绩。,凶,,,
45,兑坤,兑为泽,1,坤为地,7,,萃,泽地萃,运气大好，能得到贵人的帮助，获利丰厚，无往不利。,䷬,会受到小人的陷害，先凶后吉，宜谨慎从事。做官的会被贬职。,平,,正当好运，贵人提举，营谋得利。做官的得人引荐，能升迁。,吉,,家里不安，六亲有损，老者多凶。做官的在位不得安宁，出外则艰辛。,凶,,不从正道者，会有凶祸，惟大德君子，可改过得福。做官的须防他人猜忌，宜弃高就低，急流勇退为吉。,平,,人情不合，营谋有阻。做官的不得人心，其志未光。,平,,事多烦扰，不能安宁，或上下无情，长幼忧愁，名利成虚。,凶,,,
46,坤巽,坤为地,7,巽为风,4,,升,地风升,运气升腾，诸事皆积极向上发展，谋事有成，名利双收。,䷭,名利双收，营谋遂心。做官的晋升有望。,吉,,常人有喜，病者安，谋事可成。做官的有升迁之机。,平,,营谋遂意。做官的会身居要位，读书人可成名。,平,,得山林之利，隐者有山林之乐。做官的会升迁，身居要职。,吉,,正行好运，大愿可成。做官的会高升。,吉,,有贪得无厌之祸。做官的会告休。,平,,,
47,兑坎,兑为泽,1,坎为水,5,,困,泽水困,陷入困境，事事不如意，宜坚守正道，等待时机。,䷮,有惊忧，或有丧服之灾。做官的会退职。,凶,,得贵人提携，营谋获利，静吉动凶。做官的有晋升之机。,平,,多难之时，宜守正谨慎。,凶,,谋事虽然不利，但终有出险之时，从商者或周转不利。做官的闲职者会被起用。,凶,,先难后易，不良者有诉刑之扰，丧服之忧。做官的先阻后顺。,凶,,防惊忧丧服，惟商人、旅行者利有攸往。做官的会有刑罚束缚之忧。,平,,,
48,坎巽,坎为水,5,巽为风,4,,井,水风井,宜修身养性，顺其自然，泰然处之，静有利，动则凶。,䷯,谋事有阻。做官的会退居闲职，求名者不遂。,凶,,宜谨守以避祸。做官的宜退以自保。,凶,,安分守己为吉，不良者或有灾。做官的难逢明主，需另觅良机。,平,,宜安分守己，或有迁居之喜。做官清廉者，修身立命，可望上进。,平,,营谋遂意。做官的品行端正，会得到上司的赞赏。,吉,,谋事顺利，财用充足。做官的功高德厚，能得升迁。,吉,,,
49,兑离,兑为泽,1,离为火,2,,革,泽火革,凡事均在变动之中，宜去旧立新，以应革新之象，则会吉祥。,䷰,宜谨守常规，不可存非分之想。做官的不宜进取，切不可怀出位之念。,平,,多喜庆之事，做官的会升迁。,吉,,多事之时，谨慎而行。做官的有躁动失政之忧。,凶,,会有转变，有收获。做官的会有升迁之机。,平,,时运转好，多吉利之事。做官的晋升有望。,吉,,安分守己则是非不扰。做官的进取者会晋升，离退休者会功成身退。,平,,,
50,离巽,离为火,2,巽为风,4,,鼎,火风鼎,时运正佳，能得到朋友的帮助，取得不错的成就。与人合伙共事更佳。,䷱,因人成事，多喜事，或结婚，或生子，忧者喜，贱者贵。做官的会因功得晋升。,平,,虽有收获，但须防忧。做官的秉公执政，须防小人的谗言之扰。,吉,,先难后易，老者多福，年轻人多不如意。做官的会遇到阻力，但最终的结果会好。,平,,多灾之时，或生足疾。做官的有被贬职之忧。,凶,,时运不错，多获利。做官的多吉兆，多升迁。,吉,,安稳利达，谋求遂意。做官的闲职者复职，离退者功成身退。,吉 ,,,
51,震震,震为雷,3,震为雷,3,,震,震为雷,奋发振作，大可有为，但表面风光，内恐有难，宜谨言慎行，以免损失。,䷲,好运到来，先惊后喜。,吉,,多难之时，或有争诉，小心为妙。做官的有遭奸邪之辈陷害之忧。,凶,,多忧愁，多灾难，宜谨慎，可免祸。做官的不宜进取。,凶,,一筹莫展，前进有阻。做官的有被贬职之危。,凶,,不吉之时，或有手足受损之忧。做官的守常者无忧。,凶,,须谨防意外，或夫妻有刑克，亲邻遭难。做官的要谨防被贬职之忧。,凶,,,
52,艮艮,艮为山,6,艮为山,6,,艮,艮为山,前路受阻，不宜妄进，宜守待机。,䷳,宜守本份，不要纵欲。做官的保守己职者无失。,平,,运势受阻，或奔波在外，多劳苦；或有足疾。做官的得不到他人的帮助，不宜上进。,凶,,不顺之时，危难不安。,凶,,宜安分守常，不可有非分之想。,平,,正人君子，人情和合，谋望遂意。做官的会居要职。,平,,多福多利，但易防不吉之事。做官的会升迁，读书人会取得佳绩。,吉,,,
53,巽艮,巽为风,4,艮为山,6,,渐,风山渐,逐步开运，凡事宜循序渐进，则谋事可成，不宜急进，性急则败。,䷴,运气不佳，谋为不利。,凶,,无往不利，随处皆安。,吉,,多惊扰，人情不睦，盗贼侵害。做官的上进有阻力，有被贬之忧。,凶,,利于修造，自给自足。做官的须随遇而安，升迁无定。,平,,先难后易，做官的多招诽谤，先暗后明。,吉,,得人荐举，谋望有成，祸患不侵，多福多利。做官的大运来到，会得到重用。读书人会取得好成绩。,吉,,,
54,震兑,震为雷,3,兑为泽,1,,归妹,雷泽归妹,困难之时，做事有违常理，灾祸不断。宜明察事理，修身养性，断绝妄念。,䷵,有小德，谋望顺遂。做官的或有政绩。,吉,,不宜进取，守旧者则祸害不生。,平,,进退无常，劳役悲苦。做官的有被降职之忧。,凶,,不是佳期，须待时运。,平,,正值好运，或成婚，或得财。做官的会受到重用，身居要职。,吉,,事多不顺，营谋皆空。做官的居虚位而无实禄。,凶,,,
55,震离,震为雷,3,离为火,2,,丰,雷火丰,运势正强，谋事可成，名利双收。但不宜过贪，要知足常乐，谨防乐极生悲，损财甚至火险。,䷶,得贵人提拔，谋望有成，不良者有大过，必招灾殃。做官的会遇到明主，得以晋升。,平,,有久困发财之美，有讼者不辩自明，有病者会愈。做官的忠言多阻于邪议，先失后得。,吉,,营谋难遂，或明而受蔽，争诉日起，或手足有疾，难于做事。做官的有告休之兆。,平,,明而受蔽，得人解释而吉。做官的受到领导和同僚的猜忌，位不安。,平,,会得好人提举，谋望称意。读书人会取得佳绩。,吉,,骨肉相残，离祖成家，难免口舌之争。做官的位高者有危。,凶,,,
56,离艮,离为火,2,艮为山,6,,旅,火山旅,事多变动，如在异乡，小事可成，大事难成，宜谨守常规。,䷷,运气不佳，须防祸难。做官的有才但不能受到上司的重用。,凶,,运气转好，营谋有成。做官的显耀。,吉,,运势转坏，多灾多难。做官的有离职之忧。,凶,,在外者会有所成就，但美中不足，有忧惨是非之事发生。从商者会获利。,凶,,会得到老者的帮助，事有所成。,吉,,先好后坏，或迁居修造以避灾难，或有目疾，或会遭火灾。做官的难保其位，有先得后失之忧。,凶,,,
57,巽巽,巽为风,4,巽为风,4,,巽,巽为风,运势起伏不定，宜随机应变，谦虚行事，则可得意外之收获。,䷸,有得有失，不良者多招诽谤。做官的或有差役，进退不一，或有兼权，难中有易。,平,,诚恳待人，谋望获利。做官的有升迁之机。,吉,,运势低迷，有穷困之厄。做官的有被贬职之忧。,凶,,正当好运，多福多利。读书人会取得佳绩。,吉,,谋望有成，无往不利。做官的先阻后顺。,吉,,多损失，或生疾病。做官的有运不逢时，须谨慎。,凶,,,
58,兑兑,兑为泽,1,兑为泽,1,吉,兑,兑为泽,多喜庆之事，人情和合，但应坚守正道，否则犯灾。,䷹,人情和合，百谋皆遂。,吉,,正当好运，事事和顺。做官的有升迁之兆。,吉,,会有意外之祸，甚者则失道忘身。做官的有听信谗言而遭辱之忧。,凶,,从商获利，或进人口，不良者或有疾病，谋望不成。做官的会身居要职，升迁有望。,平,,时运不佳，多意外之祸。做官的会受到小人的诽谤。,凶,,营谋不顺，谨防有忧。,平,,,
59,巽坎,巽为风,4,坎为水,5,,涣,风水涣,初有不顺，但终可解困，凡事宜小心则百事亨通，忌任性放纵。,䷺,得尊上提举，营谋皆遂。做官的会受到重用，有望晋升。,吉,,谋望有成，或会成家。做官的有实权。,平,,常人获利。做官的出外就职。,平,,先凶后吉，谋望和合，求利可获。做官的会身居要职。,吉,,正当好运，事事皆吉，求利者遂。做官的会升迁。,吉,,先难后易，运势好转。做官的外出就职者会有灾难。,平,,,
60,坎兑,坎为水,5,兑为泽,1,,节,水泽节,宜安分守己，切忌贪心不足，诸事必须节制，不宜过份，更要戒酒色。,䷻,进取不利，宜守旧。,平,,时运不佳，事多乖离，宜动不宜静。做官的不得时运。,凶,,多辛苦，少收获。,平,,秉公守法，安于正道，福利可获。做官的会得到上司的欣赏，升迁有望。,吉,,正当好运，谋望有成。,吉,,不得天时，名利皆无。做官的不知变通，前途渺茫。,凶,,,
61,巽兑,巽为风,4,兑为泽,1,,中孚,风泽中孚,正直诚信者吉利，会得到朋友的帮助，谋事可成；心存邪念者则凶。,䷼,得贵人提举，谋事有成，但喜中有忧，宜行正道，修身养性，不可逸乐。做官的会受到举荐，能居要职。,吉,,无往不利，多进钱财，或生子。做官的会晋升。,吉,,喜中有忧，事多反复。做官的同僚不睦，先进后退。,凶,,能得到提拔，但有失去配偶或财产之忧。做官的会晋升，身居要位。,平,,人情和合，谋事有成，无往不利。做官的君臣一心，会得到上司的赞赏。,吉,,多虚少实，前路凶险。经商者会有损失。做官的有近颜之喜。,凶,,,
62,震艮,震为雷,3,艮为山,6,,小过,雷山小过,诸事不利，宜行小事，不宜成大事，更防因自身的过失惹来是非争讼。,䷽,不得天时，灾难突来。做官的有骤然取祸之忧。读书人则有一飞冲天之兆。,凶,,得贵人指引，谋望有成。做官的严于律己，恪守己职，则升迁有望。,平,,时运不济，谨防意外。做官的须防小人奸邪之辈所害。,凶,,宜安常守职，不可妄动。,平,,不利谋事，守旧为佳。做官的有告休之危。,平,,时运不佳，不知退守，过刚则折。,凶,,,
63,坎离,坎为水,5,离为火,2,,既济,水火既济,事业有成，成功之象，但谨防盛极必衰，宜退守为吉，再进则凶。,䷾,时运未到，欲动未动，安保无虞。做官的有职未受，有位未登。,平,,先难后易，做官的有先逆后顺之美。,平,,有结怨争诉之损。做官的多差遣征伐之举。,凶,,时运平平，有备则无患。做官的须做好预防，则爵禄稳固。,平,,近谋有实，远谋多虚，不利东方，利于西方。,吉,,小人侵扰，坐船者，防溺水之灾。做官的有过刚则折之忧。,凶,,,
64,离坎,离为火,2,坎为水,5,,未济,火水未济,运势不通，诸事不能如愿，宜由小及大，稳步进取，要耐心去突破难关，则终可成功。,䷿,经营不利，涉水行舟者，谨防溺水之患。做官的仕途有阻，不能前进。,凶,,安份守纪者，谋望遂意。做官的克服困难者，晋升有望。,吉,,宜见机行事，不宜妄动。做官的有因人成事之美。在商旅则涉川历险而利可获。,凶,,会得好人提举，获利丰厚。做官的会受到重用，名利双全。读书人会取得佳绩。,吉,,谋望有成，财利丰厚。做官的能得到升迁。,吉,,行险而顺，不良者有溺水之厄，纵酒之灾。做官的有望升迁。,平,,,
